,id,name,host_id,host_is_superhost,host_total_listings_count,host_identity_verified,longitude,room_type,bathrooms,beds,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,has_availability,availability_60,availability_365,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
0,2084992,"Nice and cozy apartment in Kreuzberg, Graefekiez",6302373,f,1.0,t,13.4148,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,5.0,5.0,5.0,4.82,f,1,0
1,1123383729460847373,Furnished room in well equipped serviced apartment,206488801,f,7.0,t,13.35,Private room,0.5,1.0,365,93,365,365.0,t,60,180,0,,,,,f,1,0
2,1205255838613758737,Luxurous game room with private bath in X-Berg,50009901,t,1.0,t,13.4153243,Private room,1.0,1.0,1125,1,1125,1125.0,t,46,305,34,4.97,5.0,4.97,4.94,f,0,0
3,8164759,Beautiful single-room studio,42115726,f,3.0,t,13.35778,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,5.0,4.0,5.0,3.0,f,1,0
4,18836877,Unterkunft zentral in Berlin,131184702,f,1.0,t,13.42049,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,,,,,f,1,0
5,886772024913265656,Studio in the heart of Berlin,12360,t,21.0,t,13.4106,Entire home/apt,1.0,1.0,730,92,730,730.0,t,6,240,1,5.0,5.0,5.0,4.5,f,21,0
6,13761071,Central flat near Alex with fiber optic Internet,80675177,t,2.0,t,13.41684,Entire home/apt,1.0,4.0,60,6,1125,1125.0,t,25,237,59,4.86,4.9,4.96,4.73,f,2,0
7,16141397,Ein Raum Wohnung in Schöneberg,105320391,f,1.0,t,13.34816,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,,,,,f,1,0
8,1917365,60m2 Kreuzberg near Görli & Ufer,1714986,f,2.0,t,13.43425,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,,,,,f,1,0
9,949319254792501534,Silent-Spacious-Green-Apartment,529489961,f,1.0,t,13.44794636997527,Entire home/apt,1.0,1.0,7,2,7,7.0,t,5,5,5,5.0,4.57,5.0,5.0,f,1,0
10,1697691,Charming flat w.Balcony | Perfect location,4647121,t,4.0,t,13.43185,Entire home/apt,1.0,2.0,1125,5,1125,1125.0,t,59,73,17,4.66,4.41,4.96,4.58,f,1,0
11,1004454780293034887,Large room in city centre with private bathroom,66951992,t,1.0,t,13.424912857147206,Private room,1.0,1.0,365,2,365,365.0,t,56,127,36,4.97,4.97,5.0,4.79,f,0,0
12,15245252,Cosy and bright room for 3 People,30928939,f,1.0,t,13.47959,Private room,,,1125,92,1125,1125.0,t,0,0,0,5.0,5.0,5.0,5.0,f,0,0
13,1088989026547588172,cozy and cool Apt. in  Moabit,69323623,t,4.0,t,13.332679644227028,Entire home/apt,1.0,0.0,365,5,365,365.0,t,49,232,10,4.5,4.7,4.5,4.5,f,1,0
14,32116312,Misty Forest Hotel-Apartment in Friedrichshain,174136994,t,8.0,t,13.46978,Hotel room,1.0,2.0,60,3,60,60.0,t,25,290,31,4.76,4.73,4.73,4.53,t,6,0
15,9816750,Sundeck in Neukölln,7822054,f,5.0,t,13.45283,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,,,,,f,1,0
16,1239840013506611065,"Room in Pankow, top location next to Bürgerpark",5064065,f,5.0,t,13.39554,Private room,0.5,1.0,365,3,365,365.0,t,42,138,0,,,,,f,0,0
17,28532851,Quiet & Small (LINDEMANN'S),215178674,t,8.0,t,13.36134,Hotel room,1.0,1.0,1125,3,1125,1125.0,t,52,241,85,4.73,4.85,4.82,4.66,t,0,0
18,15935417,"Central & calm appartement, Schönhauser Allee",27992532,f,2.0,t,13.41415,Entire home/apt,1.0,1.0,365,300,365,365.0,t,0,265,0,4.93,4.79,5.0,4.86,f,2,0
19,43466772,Myhappyplace two in the middle of Berlin,341282198,t,2.0,t,13.34043,Entire home/apt,2.0,3.0,1125,3,1125,1125.0,t,49,336,7,4.86,4.86,4.88,4.71,f,2,0
20,8564167,"Spacious, bright room in the heart of Berlin",16712308,t,1.0,t,13.40452,Private room,1.5,3.0,90,1,90,90.0,t,59,179,7,4.91,4.95,4.94,4.68,f,0,0
21,21198159,For Ladies: Spacious Room in Berlin Tempelhof,8102035,t,2.0,t,13.37802,Private room,1.0,1.0,1125,3,1125,1125.0,t,26,56,2,5.0,5.0,4.83,4.92,f,0,0
22,1093539576725450151,URBAN FLATS Berlin | Flat No. 301 | City Center,546288100,f,46.0,t,13.398584202102011,Entire home/apt,1.0,2.0,365,2,1125,1125.0,t,52,90,31,4.81,4.77,4.71,4.52,t,44,0
23,2531191,Central City Apartment in Hip Neighborhood,12962618,f,1.0,t,13.42945,Entire home/apt,,,30,10,1125,1125.0,t,5,11,6,4.9,4.89,4.96,4.87,t,1,0
24,15320058,bright and big top floor flat,7313508,f,1.0,t,13.42949,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,5.0,5.0,4.88,4.82,f,1,0
25,1086385381069620109,URBAN FLATS Berlin | Flat No. 202 | City Center,546288100,f,46.0,t,13.39856,Entire home/apt,1.0,2.0,365,2,1125,1125.0,t,39,74,35,4.83,4.74,4.86,4.8,t,44,0
26,725003625720262728,"Stylish, quit and bright room with beautiful view.",2616245,t,1.0,t,13.4524887,Private room,1.0,1.0,5,1,1125,1125.0,t,22,71,32,4.94,4.98,4.97,4.82,f,0,0
27,47025864,"Beautiful, large apartment near Rosenthaler Platz",4485354,t,1.0,t,13.3991,Entire home/apt,1.5,2.0,120,5,1125,1125.0,t,52,93,26,4.99,4.97,5.0,4.84,f,1,0
28,6220581,Luxury Loft Paul-Lincke-Ufer,32259914,f,2.0,f,13.42295,Entire home/apt,,,1125,92,1125,1125.0,,0,0,0,4.84,4.84,4.89,4.86,f,1,0
29,568524485826835987,Numa | Large 1-Bedroom Apartment with Sofabed,371913052,f,7.0,t,13.446684,Entire home/apt,1.0,4.0,365,5,999,999.0,t,42,314,12,4.74,4.81,4.64,4.44,t,7,0
30,955723028027971655,Sunny Top Floor with Balcony Lounge in Kreuzberg,148488060,t,2.0,t,13.42627570828214,Entire home/apt,1.0,2.0,365,4,365,365.0,t,10,20,8,5.0,5.0,5.0,4.92,f,1,0
31,1162164016027964062,Numa | Spacious Room with Balcony in Berlin,578973475,f,6.0,t,13.3386821,Entire home/apt,1.0,1.0,365,4,999,999.0,t,59,334,30,4.7,4.83,4.8,4.53,t,6,0
32,1216475418788371601,Bright Cosy Room with Balcony,268520572,f,3.0,t,13.444711699214391,Private room,1.0,1.0,20,4,20,20.0,t,58,88,5,5.0,5.0,5.0,4.8,f,0,0
33,939185728575965294,Space + Hygge feeling 130 qm,492790133,f,8.0,t,13.37901,Entire home/apt,1.0,4.0,365,2,365,365.0,t,38,301,0,5.0,5.0,5.0,4.8,f,6,0
34,14228442,2rooms comfortable apartment Berlin-Charlottenburg,86484113,f,3.0,t,13.30235,Entire home/apt,,,365,5,365,365.0,t,54,264,0,4.79,4.84,4.98,4.68,f,2,0
35,851851808067853023,Grand art nouveau apartment in midcentury style,35360813,t,5.0,t,13.3601497,Entire home/apt,1.0,1.0,730,92,730,730.0,t,3,272,0,5.0,5.0,5.0,5.0,f,1,0
36,48745871,Schöne Apartments zentral in Berlin 2-3 Personen,392212504,f,3.0,t,13.388472,Private room,1.0,3.0,1125,2,1125,1121.0,t,0,0,0,4.53,4.91,4.12,4.56,t,0,0
37,1284004661358235112,"Blueground | Prenzlauer Berg, furnished & equipped",434485440,f,325.0,t,13.4212044,Entire home/apt,1.0,2.0,1125,334,1125,1125.0,t,0,265,0,,,,,t,318,0
38,1275268623195133131,Helle 3 Zimmer Altbau 107 m2,48666378,f,3.0,t,13.344019808403846,Entire home/apt,1.0,1.0,184,92,184,184.0,t,57,362,0,,,,,f,1,0
39,817316233912290537,Sunny apartment in a quiet location,159493970,f,1.0,t,13.444628316624105,Entire home/apt,1.0,2.0,14,2,14,14.0,t,2,18,6,5.0,5.0,5.0,4.83,f,1,0
40,4083538,Friedrichshain-Kreuzberg: Best Area & Self-Checkin,21179795,t,4.0,t,13.44785,Entire home/apt,1.5,1.0,730,5,730,730.0,t,3,3,12,4.63,4.34,4.8,4.58,f,1,0
41,37446212,"Rosa-Luxemb.-Pl.-Apartm., 3 Monate Mindestmietzeit",6522168,t,3.0,t,13.40718,Entire home/apt,1.0,1.0,1125,92,1125,1125.0,t,0,93,0,4.96,4.98,4.99,4.85,f,2,0
42,1258253,One room flat with balcony in PB,6853157,f,1.0,f,13.41297,Entire home/apt,,,300,92,300,300.0,,0,0,0,4.8,4.71,4.76,4.78,f,1,0
43,27153586,Ruhiges Altbau-Zimmer in Kreuzberg direkt am Park,23053909,t,1.0,t,13.38101,Private room,1.0,1.0,1125,2,1125,1125.0,t,7,71,22,4.92,4.78,4.99,4.84,f,0,0
44,792795513324956525,Zimmer in Moabit mit Loggia,13176887,t,1.0,t,13.3358041,Private room,1.0,1.0,30,30,30,30.0,t,3,3,22,4.97,4.95,5.0,4.92,f,0,0
45,3593470,Bright 2-room-apartment in Neukölln,16934464,f,2.0,t,13.44985,Entire home/apt,,,1125,92,1125,1125.0,t,0,0,0,4.87,4.87,5.0,4.86,t,1,0
46,301773,Nice Apartment at Prenzlauer Berg,1554470,f,2.0,t,13.42435,Entire home/apt,,,365,92,365,365.0,t,58,88,0,4.78,4.87,4.79,4.77,f,1,0
47,13704364,"Zimmer (fast) in Schöneberg, ruhig und zentral",79000226,t,3.0,t,13.3571,Private room,1.0,1.0,77,14,77,77.0,t,59,89,8,4.75,4.72,4.89,4.78,f,0,0
48,18135283,Room in Shared appartment in Friedenau,60720329,f,1.0,t,13.34266,Private room,,,1125,92,1125,1125.0,t,0,0,0,5.0,5.0,5.0,5.0,f,0,0
49,15531727,Bright cosy room in Friedrichshain,15850420,f,2.0,t,13.43764,Private room,,,1125,92,1125,1125.0,t,0,0,0,,,,,f,0,0
