,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,1,1123383729460847373,20241221052002,Furnished room in well equipped serviced apartment,"Room in an apartment available. Apartment has everything needed for comfortable stay and is spotless serviced apartment with all amenities including dishwasher, washing machine, cutlery, utensils, smart tv, nice table setup for home office.<br /><br />Duration is a set to minimum 3 months, but can be adjusted. Just send an inquiry and we can discuss about shorter rentals.<br /><br /> Note : 4th floor, no elevator <br /> Bus stops in front of house door.",206488801,Supriya,f,7.0,7.0,t,t,52.5609,13.35,Private room in rental unit,Private room,2,0.5,1.0,1.0,$117.00,365,93,93,365,365,93.0,365.0,,t,30,60,90,180,0,0,0,,,,,,,,,f,3,1,2,0,
2,2,1205255838613758737,20241221052002,Luxurous game room with private bath in X-Berg,"Cozy private room in Berlin Mitte with private bathroom and over 500 original (retro) games!<br />This charming private room not only offers you comfort and privacy, but also unique gaming entertainment on various consoles and a huge OLED TV.<br />The room is perfectly furnished and equipped with everything you need. A private bathroom ensures maximum privacy. Ideal for solo travelers, couples or business travelers who want to both explore the city and relax.",50009901,Gabriel,t,1.0,1.0,t,t,52.5048115,13.4153243,Private room in condo,Private room,2,1.0,1.0,1.0,$95.00,1125,1,1,1125,1125,1.0,1125.0,,t,24,46,58,305,34,34,5,4.97,4.97,5.0,4.97,4.97,4.94,4.94,01/Z/AZ/017416-24,f,1,0,1,0,9.53
11,11,1004454780293034887,20241221052002,Large room in city centre with private bathroom,"- Spacious and quiet room (28 m², 300 sq ft)<br />- Centrally located - Perfect location to explore Berlin<br />- Lots of cafes and stores in walking distance <br />- Alexanderplatz is very close<br />- Direct access from the room to private bathroom with bathtub<br />- Towels and coffee are provided <br />- Very comfortable bed (king size)<br />- Large Kitchen<br />- Part of a 4 room apartment<br />- The room is located towards the back of the building so it is quiet.<br />- Also you will have a great view on the famous Fernsehturm (TV tower).",66951992,Konrad,t,1.0,1.0,t,t,52.52974171508959,13.424912857147206,Private room in rental unit,Private room,2,1.0,1.0,1.0,$73.00,365,2,2,365,365,2.0,365.0,,t,26,56,86,127,38,36,5,4.97,4.89,4.97,4.95,5.0,4.95,4.79,03/Z/AZ/008608-23,f,1,0,1,0,2.81
12,12,15245252,20241221052002,Cosy and bright room for 3 People,"My place is close to Frankfurt's avenue. Various shopping facilities are within walking distance. You can also go shopping nearby, get downtown quickly, and discover a number of cafes and bars in the neighborhood around the corner.<br />You'll love my place because of our beautiful kitchen where you can cook and spend cozy evenings. My place is nice for couples and groups up to 3 people.",30928939,Paul,f,1.0,1.0,t,t,52.52439,13.47959,Private room in rental unit,Private room,3,,,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.01
14,14,32116312,20241221052002,Misty Forest Hotel-Apartment in Friedrichshain,"Located in the heart of Friedrichshain - one of the most popular and hip districts in Berlin - we offer urban comfort in modern but cosy spaces with a dream like atmosphere. Through choice of organic materials, colors and themes used, we integrate nature and landscapes into our contemporary spaces which accommodate 2-4 travelers each in two separate double bed rooms. The main focus on an exceptional sleeping experience.",174136994,Hanna,t,7.0,8.0,t,t,52.51756,13.46978,Room in serviced apartment,Hotel room,4,1.0,2.0,2.0,$181.00,60,1,3,60,60,2.0,60.0,,t,14,25,51,290,119,31,1,4.76,4.66,4.73,4.87,4.73,4.73,4.53,"Legal entity name and Legal form: UD Hospitality GmbH <br/>Legal representatives or Trade register number: HRB191799B <br/> Entity address: Sredzkistraße 48, 10435, Berlin, Deutschland <br/>Listing address: Bänschstr. 79, 10247, Berlin, Deutschland",t,7,6,0,0,1.66
16,16,1239840013506611065,20241221052002,"Room in Pankow, top location next to Bürgerpark","Welcome to our bright and cozy room in the green district of Berlin-Pankow. <br /><br />The room is part of a comfortable 200sqm apartment where I live together with my son (16). There is a large terrace with a garden and the beautiful Bürgerpark right outside the door. Grocery stores and shops are within walking distance.<br /><br />Prenzlauer Berg with its numerous restaurants and bars can be reached in 15-20 minutes - by streetcar, subway or simply by bike :)",5064065,Anne,f,4.0,5.0,t,t,52.57224,13.39554,Private room in rental unit,Private room,1,0.5,1.0,1.0,$40.00,365,3,3,365,365,3.0,365.0,,t,12,42,45,138,0,0,0,,,,,,,,03/Z/AZ/004527-19,f,1,0,1,0,
17,17,28532851,20241221052002,Quiet & Small (LINDEMANN'S),"approx. 18 m² | Bed (140cc/160cc x210cc) | Air conditioning | Flat screen TV | Desk | Refrigerator | Safe | Bathroom with shower/toilet and hairdryer | Free Wi-Fi<br /><br />Parking: Pre-book for 20,00€/day<br />Breakfast buffet: €21.00/person | Mon.-Fr from 6:30 am -10:30 am | WE and holidays 7:00 am -11:00 am",215178674,Maarten,t,8.0,8.0,t,t,52.49379,13.36134,Room in hotel,Hotel room,2,1.0,1.0,1.0,$82.00,1125,1,3,1125,1125,1.5,1125.0,,t,26,52,79,241,536,85,4,4.73,4.79,4.85,4.86,4.82,4.63,4.66,"Legal entity name and Legal form: LINDEMANN'S GmbH <br/>Legal representatives or Trade register number: 75750 B - Amtsgericht Charlottenburg <br/> Entity address: Potsdamer Straße 171-173, 10783, Berlin, Deutschland <br/>Listing address: Potsdamer Straße 171-173, 10783, Berlin, Deutschland",t,8,0,1,0,7.33
20,20,8564167,20241221052002,"Spacious, bright room in the heart of Berlin","The flat is at the top floor of a heritage building, located in Berlin's hip Mitte district. The building is just a stonethrow away from Prenzlauer Berg district and within five minutes walking of Rosenthaler Platz underground/tram station.",16712308,Moritz,t,1.0,1.0,t,t,52.52971,13.40452,Private room in rental unit,Private room,2,1.5,1.0,3.0,$159.00,90,1,1,90,90,1.0,90.0,,t,29,59,89,179,78,7,0,4.91,4.97,4.95,4.89,4.94,4.97,4.68,"First name and Last name: Moritz Moeller <br/> Contact address: Zehdenicker Str. 22, 10119, Berlin, Berlin <br/>Listing address: Zehdenicker Str. 22, 10119, Berlin, Berlin",f,1,0,1,0,0.74
21,21,21198159,20241221052002,For Ladies: Spacious Room in Berlin Tempelhof,"Our offer is exclusively for ladies who are professionally in Berlin. The property is located near Berlin Südkreuz train station with easy access to local transport. You'll love my place as the room is spacious, offering a large closet, table and fridge. Please note that a small dog lives in the household.",8102035,Anja,t,1.0,2.0,t,t,52.47319,13.37802,Private room in home,Private room,1,1.0,0.0,1.0,$40.00,1125,3,3,1125,1125,3.0,1125.0,,t,17,26,56,56,12,2,0,5.0,4.92,5.0,4.92,4.83,5.0,4.92,07/Z/AZ/011800-22,f,1,0,1,0,0.15
26,26,725003625720262728,20241221052002,"Stylish, quit and bright room with beautiful view.","Kick back and relax in this calm, stylish space.<br /><br />The apartment is located in quiet Alt Treptow. Public transport is just a 2 minutes' walk away.<br />This Deluxe Apartment is furnished to a high standard with loving details. The utilities are including a fully equipped open kitchen with lots of tools for cooking lovers. You will be sharing our flat with me and my partner Lena. In addition to the very quiet room, you will have access to a large rooftop terrace. A private bathroom awaits you as well.",2616245,Mor,t,1.0,1.0,t,t,52.48979989999999,13.4524887,Private room in rental unit,Private room,2,1.0,1.0,1.0,$93.00,5,1,1,1125,1125,1.0,1125.0,,t,22,22,22,71,96,32,0,4.94,4.98,4.98,4.99,4.97,4.91,4.82,09/Z/AZ/003659-22,f,1,0,1,0,3.65
