,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6,6,13761071,20241221052002,Central flat near Alex with fiber optic Internet,"This light and clean apartment is located in a tranquil area in the heart of Berlin. Conveniently situated for transport connections, close to Alexanderplatz. Modern, comfortable furnishings. Private parking spaces at the building (requires a reservation). The apartment has super-fast fibre optic broadband Wifi. Linen, bath and hand towels, skin-friendly soap, and green electricity included. There are no additional charges.<br /><br />We love families - children up to 12 years are free of charge.",80675177,Sven,t,2.0,2.0,t,t,52.51024,13.41684,Entire serviced apartment,Entire home/apt,6,1.0,3.0,4.0,$224.00,60,3,6,1125,1125,5.0,1125.0,,t,6,25,55,237,358,59,5,4.86,4.89,4.9,4.96,4.96,4.79,4.73,01/Z/NA/004162-16,f,2,2,0,0,3.49
19,19,43466772,20241221052002,Myhappyplace two in the middle of Berlin,"The location of the accommodation in Berlin-Mitte is ideal for exploring Berlin. In the immediate vicinity of the apartment you will find many delicious restaurants. Here you are no further than 4 km from Kurfürstendamm and Friedrichstraße is no further away than 6 km. So you are centrally located to the City-West and City East. We are sure you will feel at home. If there are any issues, we are at your disposal 24/7.",341282198,Tim & Matteo,t,2.0,2.0,t,t,52.52888,13.34043,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,$180.00,1125,3,3,1125,1125,3.0,1125.0,,t,19,49,79,336,73,7,0,4.86,4.96,4.86,4.88,4.88,4.66,4.71,"First name and Last name: Michel Hauschild <br/> Contact address: Murellenweg 19, 14052, Berlin, Deutschland <br/>Listing address: Wiclefstraße 66, 10551, Berlin, Deutschland",f,2,2,0,0,1.32
29,29,568524485826835987,20241221052002,Numa | Large 1-Bedroom Apartment with Sofabed,"The 61-square-meter, freshly renovated apartments accomodate up to 6 people. They offer a king-sized bed, a double sofa bed, and one bunk bed for two people. Each apartment has a fully equipped kitchen, a dining table with chairs and a spacious bathroom with a shower.",371913052,Numa Kater,f,7.0,7.0,t,t,52.50367,13.446684,Entire serviced apartment,Entire home/apt,6,1.0,1.0,4.0,$145.00,365,1,5,999,999,2.1,999.0,,t,16,42,69,314,42,12,2,4.74,4.76,4.81,4.6,4.64,4.64,4.44,"Legal entity name and Legal form: COSI Berlin Friedrichshain GmbH <br/>Legal representatives or Trade register number: HRB 213405 B <br/> Entity address: Potsdamer Straße 68A, 10785, Berlin, Germany <br/>Listing address: Warschauerstraße 46/47, 10243, Berlin, Germany",t,7,7,0,0,1.26
33,33,939185728575965294,20241221052002,Space + Hygge feeling 130 qm,We are hosting 8 Apartments in a house in Berlin Mitte/Gesundbrunnen - about 10 min to Alexanderplatz by subway (5 subway stations) All people are welcome - especially families who enjoy large apartments a hygge homestyle and a cozy atmosphere.  Coming together as friends and family - having a nice time and feeling comfortable - that's what we want for our guests.,492790133,Janosch,f,6.0,8.0,t,t,52.55396,13.37901,Entire rental unit,Entire home/apt,8,1.0,2.0,4.0,$297.00,365,1,2,365,365,2.0,365.0,,t,14,38,68,301,5,0,0,5.0,5.0,5.0,5.0,5.0,4.6,4.8,"First name and Last name: Nicola Aleff <br/> Contact address: Badstraße44, 13357, Berlin, Deutschland <br/>Listing address: Badstraße44, 13357, Berlin, Deutschland",f,6,6,0,0,0.29
50,50,21038831,20241221052002,Vintage Vibes: Spacious 4-Room Apartment in Mitte,"Escape the city bustle and experience the quiet and serenity of this minimal home in Berlin Mitte:<br />- Peaceful 4-room apartment with 3 bedrooms and a balcony<br />- Finished in a serene monochromatic beige palette<br />- Furnished with curated furniture that have a story to tell<br />- In Scheunenviertel, Berlin's most charismatic neighborhood<br />- 3-minute-walk to two U-Bahn stations (U2 and U5)<br />- Steps away from Hackescher Markt and Museum Island",12360,Michael,t,21.0,21.0,t,t,52.52431,13.40961,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,$114.00,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,95,4,0,0,4.75,5.0,4.5,4.75,5.0,5.0,4.5,,f,21,21,0,0,0.05
52,52,26343916,20241221052002,Urban Paradise with big terrace/next to Mauerpark,With us you are in the middle of beautiful Prenzlauer Berg.<br />An Aldi is right behind the house and a large shopping center/Denns/Allnatura/DM... at nearby Schönhauser Allee or Gesundbrunnen. The Mauerpark ends behind our house with several playgrounds and a petting zoo. The Mauerpark also hosts the all Sunday flea market. There are several flea markets in the area. In the neighborhood there pop up pubs and restaurants ;),7458512,Katja,f,1.0,1.0,t,t,52.54817,13.40361,Entire rental unit,Entire home/apt,6,2.5,3.0,5.0,$250.00,60,7,7,60,60,7.0,60.0,,t,0,0,0,158,9,3,0,4.89,4.89,5.0,4.67,4.89,5.0,4.67,03/Z/AZ/007554-22,f,1,1,0,0,0.24
54,54,20448471,20241221052002,Private apartment close to nature and culture,"Dear guests,<br /><br />My brother and I share a 2 bedroom apartment and we’re out of town quite often. The apartment comfortably accommodates 4 adults. The 5th person can sleep on the couch in the living room. You'll have access to my brothers small bedroom, my big bedroom, and the livingroom as well as the kitchen and the bathroom.<br /><br />Please note that parties are not allowed at this place. Respecting the neighbors is also very important to me. <br /><br />Best,<br />Barbara",14693512,Barbara,f,2.0,2.0,t,t,52.55144,13.34198,Entire rental unit,Entire home/apt,5,,2.0,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,23,0,0,4.87,4.91,4.96,4.91,5.0,4.61,4.87,,f,2,1,1,0,0.26
59,59,1072585204593781257,20241221052002,4 Zimmer-Apartment am Kurfürstendamm City Center,"Centrally located in Berlin-Charlottenburg, in prime location in West Berlin, side street from the famous Kurfürstendamm.<br />Nearby there is everything you need, opposite you have a variety of coffee's, nearby many are exclusive boutiques and a few stops by bus you can reach the well-known KADEWE SHOPPING house.",54039179,Lana,f,14.0,14.0,t,t,52.50102058129975,13.304937157069734,Entire rental unit,Entire home/apt,8,2.0,3.0,8.0,$243.00,365,1,3,365,365,1.9,365.0,,t,27,51,71,86,5,5,1,3.6,4.4,4.0,4.2,4.4,5.0,4.0,"Legal entity name and Legal form: Berlin-Stay GmbH <br/>Legal representatives or Trade register number: HRB 197418 B <br/> Entity address: Torstrasse , 10115, Berlin, Brd <br/>Listing address: Wilmersdorfer Strasse 76, 10627 , Berlin, Brd",t,13,13,0,0,0.61
64,64,912184631493246609,20241221052002,"Blueground | Prenzlauer Berg, nr Wasserturm","Discover the best of Berlin, with this three bedroom apartment in Prenzlauer Berg. . It’ll be easy to simply show up and start living in this modernly Blueground furnished apartment with its fully-equipped kitchen, lovely living room, and our dedicated, on-the-ground support. (ID #BER172)",434485440,Blueground,f,322.0,325.0,t,t,52.5347581,13.4258536,Entire rental unit,Entire home/apt,6,1.5,3.0,3.0,$177.00,1125,92,334,1125,1125,96.4,1125.0,,t,0,0,0,264,0,0,0,,,,,,,,"Legal entity name and Legal form: BLUEGROUND GERMANY GmbH <br/>Legal representatives or Trade register number: HRB 232347 B <br/> Entity address: Stresemannstraße 123, 10963, Berlin, Germany <br/>Listing address: Winsstraße 53, 10405, Berlin, Germany",t,318,318,0,0,
88,88,31500359,20241221052002,"Appartement ""Hibiskus""","Exclusive living, 4 rooms, up to 14 people, luxuriously furnished holiday apartment ""Hibiscus""<br /><br />After your binding booking, you will receive an email from us with summarized information about the apartment.<br />Please note these.<br />In order to simplify your journey, we kindly ask you to contact us by phone about 2 hours before your arrival so that we can hand over the key to you.",1496069,Tim,f,15.0,15.0,t,t,52.44817,13.38651,Entire rental unit,Entire home/apt,14,2.0,3.0,11.0,$190.00,1125,1,4,22,1125,1.3,1092.7,,t,27,57,87,357,31,8,1,4.35,4.58,4.71,4.65,4.61,4.19,4.29,"Legal entity name and Legal form: PRIME Service GmbH <br/>Legal representatives or Trade register number: HRB 37328 P <br/> Entity address: Föhrenweg 1, 15831, Blankenfelde-Mahlow, Deutschland <br/>Listing address: Mariendorfer Damm 47, 12109, Berlin, Deutschland",t,15,15,0,0,0.44
