,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
93,93,535415314007589795,20241221052002,Great Apartment close to Kudamm,"Enjoy freedom and flexibility. Homaris apartments offer you a home in a foreign city. Be independent, because we have already prepared everything for you.<br />Whether it's a city trip with friends or a business trip, alone or with your team - we offer accommodations in different sizes in different cities. <br />Our apartments impress with modern design, a central location and amenities that leave nothing to be desired. Each apartment at Homaris tells its own story - is individual. Just like you!",186634753,Flo,f,3.0,6.0,t,f,52.49531,13.29629,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,$73.00,365,1,3,365,365,2.6,365.0,,t,8,26,56,331,92,36,2,4.37,4.52,4.26,4.66,4.66,4.62,4.32,"Legal entity name and Legal form: Homaris Two GmbH <br/>Legal representatives or Trade register number: HRB 206528 B <br/> Entity address: Brunnenstr. 4, 10119, Berlin, Deutschland <br/>Listing address: Joachim Friedrich Str. 7, 10711, Berlin, Deutschland",t,3,3,0,0,2.6
254,254,1218266990175103164,20241221052002,"Helle, verkehrsgünstige Wohnung","Centrally located in Steglitz, close to shopping street Schloßstr., yet quiet.   In 5 minutes at the subway no. 9, S-Bahn or to 5 bus lines. Near FU Berlin ,other universities are super easy to reach! Fully equipped with bed linen, dishes, towels, etc. I speak English, French and Italian!",24761635,Ina,f,1.0,1.0,t,f,52.464041706538026,13.327847506347684,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,$80.00,90,5,5,90,90,5.0,90.0,,t,7,18,42,196,6,6,0,4.5,4.67,4.33,4.83,4.33,4.83,4.83,"First name and Last name: Ina Krause <br/> Contact address: Fregestr.38 / 12161 Berlin, 12161, Berlin, Deutschland <br/>Listing address: Feuerbachstr.16, 12163, Berlin, Berlin",t,1,1,0,0,1.43
299,299,1249106973521025839,20241221052002,"Moderne, helle Oase mit Balkon","Welcome to your perfect getaway! You will love this bright, cozy apartment.<br /><br />Must Dos:<br /><br />- Spacious bed room<br />- Bright living room with a sofa, smart TV and dining area.<br />- Fully equipped kitchen<br />- Modern bathroom<br />- Balcony<br /><br /><br />Additional amenities:<br /><br />Free WiFi<br />Washer<br />• Dishwasher <br />Subway, Britzer Garten and Berlin's largest shopping center, Gropius Passagen, are within walking distance<br /><br />Perfect for couples and solo travelers",84214075,Christian,f,1.0,1.0,t,f,52.42502,13.45226,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$80.00,365,2,2,365,365,2.0,365.0,,t,18,35,65,155,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,08/Z/RA/013781-24,t,1,1,0,0,1.1
419,419,898530900032595096,20241221052002,"Cosy Single Room, Central spot in Mitte, Berlin","This room has everything you need to live, work and play. Get the practical things like fast WiFi, 24/7 support, regular professional cleaning, and fun stuff like a smart TV. Stay in comfort for as long as you’d like – days, weeks or months.",514089628,Bob,t,6.0,6.0,t,f,52.5117349,13.4136999,Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,$85.00,365,1,1,999,999,1.0,999.0,,t,27,57,87,357,15,14,0,4.87,4.93,5.0,4.87,5.0,4.93,4.87,"Legal entity name and Legal form: Charly Hospitality GmbH <br/>Legal representatives or Trade register number: HRB 243958 B <br/> Entity address: Urbanstr. 71, 10967, Berlin, Germany <br/>Listing address: Kopenicker Str. 92, 10179, Berlin, Germany",t,6,6,0,0,0.81
533,533,33471700,20241221052002,We love you & Berlin,"Hello dear travelers,<br />your next destination is Berlin? Then comes in the middle of Berlin to Kreuzberg. From here you can quickly get to many attractions, popular pubs, bars, restaurants, and clubs. <br />You live here in a 1.5 room apartment with balcony on the ground floor. You have an extra bedroom. 3 metro stations are 10 minutes away.<br />Geographically, in my street, is in the middle of Berlin.",62747694,Simon,f,1.0,1.0,t,f,52.50071,13.40175,Entire rental unit,Entire home/apt,2,,1.0,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,13,0,0,4.77,4.92,4.92,4.77,4.92,4.85,4.85,,t,1,1,0,0,0.19
534,534,36834775,20241221052002,Hip Neighbourhood right next to Görlitzer Park,"The apartment is small but very cute and is located perfectly, with many bars and restaurants only minutes away. The walk to Görlitzer Park is 3 minutes, and the walk o the U-Bahn about 5. perfect for friends or couples to get a real feel of Berlin.",101498722,Sorsha,f,1.0,3.0,t,f,52.50115,13.42764,Entire rental unit,Entire home/apt,2,,1.0,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,11,0,0,4.82,4.91,4.73,5.0,5.0,4.91,4.55,,t,1,1,0,0,0.17
593,593,23726066,20241221052002,Gemütliches Altbau-Zimmer mit Balkon in Kreuzberg,"+++ Please write me a message if you are planning a longer stay. I will be traveling myself - you have the part of the apartment for yourself +++<br /><br />The apartment is located on the popular Bergmannkiez in Kreuzberg with many restaurants, bars and shops in the immediate vicinity. A perfect place for a few nights in Berlin with great subway connections.",146909080,Patrick,t,1.0,1.0,t,f,52.4919,13.39658,Private room in rental unit,Private room,2,,,,,25,5,5,1125,1125,5.0,1125.0,,t,0,0,0,0,25,6,0,4.92,4.92,4.92,5.0,5.0,4.84,4.92,02/Z/AZ/016108-22,t,1,0,1,0,0.3
690,690,18386291,20241221052002,1 room facing East in Berlin (Moabit),"Our flat is in multicultural Moabit. The underground station of Turmstraße is within 5 min., the central station within 10, Tegel airport within 15 bus min. Groceries (bio, super markets, Turkish, Asian), cafés and restaurants within walking distance. <br />We offer 1 bedroom (with a 1.40 bed and a balcony), kitchen, living room and loggia can be shared. You are free to cook meals as long as they don't contain animals. <br />We have two cats; the rooms are not suited for cat allergy sufferers.",80728051,Dorothea,f,1.0,3.0,t,f,52.52541,13.33367,Private room in rental unit,Private room,2,,,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,10,0,0,5.0,4.9,4.7,5.0,5.0,4.7,4.9,,t,1,0,1,0,0.11
873,873,20303019,20241221052002,Großes Zimmer in wundervoller WG,"I am on vacation for a good two weeks and my room in a wonderful shared apartment is available!<br />You would live with three nice people in a 136 sqm apartment, have a large bathroom and an even larger kitchen (with a stove, microwave, dishwasher, etc.) and a approx. 27 sqm room just for you. Here you will find a desk, cabinets, plenty of space and private balcony!<br />The connection to the city is great, otherwise it is quiet and relaxed with us:)",18109264,Robin,f,1.0,1.0,t,f,52.51667,13.27916,Private room in rental unit,Private room,1,,,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,0,1,0,0.01
1020,1020,44512221,20241221052002,Minimalismus direkt im Kiez,"Amenities:<br /><br />Kitchen - Sink, Stove , Fridge, Dishes,Washing machine, Table, Chairs<br /><br />Living room - sofa, living wall , table <br /><br />Bedroom - bed, bedside tables, closets<br /><br />small Room -oftop Bed,  Shelf<br /><br />Bathroom - bath , shower , mirror cabinet<br />Linens, linens and towels are  provided .<br /><br />- Supermarket (Lidl, Rewe, Penny ) can be reached in 3 minutes<br />- along the Schönhauser Alle (10 minutes by foot) there are several shopping centers",10870523,Madlen,f,1.0,2.0,t,f,52.54586,13.42745,Entire rental unit,Entire home/apt,4,,2.0,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,5,0,0,4.6,4.6,4.8,4.8,5.0,4.8,4.6,,t,1,1,0,0,0.09
1169,1169,49933100,20241221052002,Doubleroom,"The W22 Hotel am Kurfürstendamm welcomes you with a special charm. In a dignified Berlin old building<br />discover an ambience between Kitsch and coziness.<br />A haven of peace for business travelers,<br />Basis for culture, art and fashion lovers.<br />Playroom for parents and children.<br />The spacious rooms on three floors surprise with an imaginative design. On the 1st floor there is, for example, a castle, a ranch and a game room. <br />Same-day bookings are possible until 6pm",402655376,W22 Hotel,f,7.0,8.0,t,f,52.49414,13.31045,Room in hotel,Private room,2,,1.0,,,1125,1,3,14,1125,2.0,24.1,,t,30,60,90,365,210,2,0,4.21,4.34,4.13,4.49,4.25,4.59,4.31,"Legal entity name and Legal form: Lehnen, Erika &amp; Sausse, Dieter GbR  <br/>Legal representatives or Trade register number: 20666325 <br/> Entity address: Wittelsbacherstrasse 22, 10707, Berlin, Deutschland <br/>Listing address: Wittelsbacherstrasse 22, 10707, Berlin, Deutschland",t,7,0,7,0,4.92
1182,1182,23648027,20241221052002,Schönes Privatzimmer im Prenzlauer Berg mit Balkon,"-english-<br />Bright spacious room in shared flat (still clean and neat) with a nice view over the trees of Arnswalder Platz and the Fernsehturm (tv tower at Alexanderplatz)! Central location (2 km from Alexanderplatz), but in a quite area. <br /><br />- German-<br />Bright, large room in shared apartment (still clean and tidy) overlooking the treetops of Arnswalder Platz and the TV tower! Despite centrally located (2 km from Alexanderplatz), a quiet area.",5627838,Johanna,f,1.0,2.0,t,f,52.53352,13.43764,Private room in rental unit,Private room,2,,,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,8,0,0,4.88,5.0,4.88,5.0,5.0,5.0,4.75,,t,1,0,1,0,0.1
1247,1247,1234474294833419521,20241221052002,Tiny Loft Berlin,,577475069,Bahira,f,554.0,830.0,t,f,52.49404,13.32817,Entire rental unit,Entire home/apt,3,,1.0,,,1125,1,3,3,1125,2.4,396.8,,t,18,48,78,254,0,0,0,,,,,,,,04/Z/RA/008513-19,t,7,7,0,0,
1333,1333,53104486,20241221052002,Family Room,Family room with doublebed and bunk bed <br />	WiFi <br />	Flatscreen-TV <br />	Hairdryer <br />	Partially Minibar <br />	Bio-Soap,402655376,W22 Hotel,f,7.0,8.0,t,f,52.49444,13.31066,Private room in rental unit,Private room,4,1.0,1.0,4.0,$114.00,365,1,3,1125,1125,3.0,1125.0,,t,26,39,40,289,17,1,0,4.12,4.18,4.06,4.47,4.35,4.41,4.12,"Legal entity name and Legal form: E. Lehnen &amp; D. Sausse GbR <br/>Legal representatives or Trade register number: 20666325 <br/> Entity address: Wittelsbacherstrasse 22, 10707, Berlin, Deutschland <br/>Listing address: Wittelsbacherstrasse 22, 10707, Berlin, Deutschland",t,7,0,7,0,0.46
1564,1564,1234530954609092050,20241221052002,Ferienhaus in Biesdorf mit Terrasse und Grill,,577475069,Bahira,f,554.0,830.0,t,f,52.52082,13.55403,Entire home,Entire home/apt,2,,1.0,2.0,"$9,999.00",1125,1,2,2,1125,1.4,635.1,,t,0,6,18,174,0,0,0,,,,,,,,10/Z/AF/004787-21,t,7,7,0,0,
