,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,1,1123383729460847373,20241221052002,Furnished room in well equipped serviced apartment,"Room in an apartment available. Apartment has everything needed for comfortable stay and is spotless serviced apartment with all amenities including dishwasher, washing machine, cutlery, utensils, smart tv, nice table setup for home office.<br /><br />Duration is a set to minimum 3 months, but can be adjusted. Just send an inquiry and we can discuss about shorter rentals.<br /><br /> Note : 4th floor, no elevator <br /> Bus stops in front of house door.",206488801,Supriya,f,7.0,7.0,t,t,52.5609,13.35,Private room in rental unit,Private room,2,0.5,1.0,1.0,$117.00,365,93,93,365,365,93.0,365.0,,t,30,60,90,180,0,0,0,,,,,,,,,f,3,1,2,0,
9,9,949319254792501534,20241221052002,Silent-Spacious-Green-Apartment,"Kick back and relax in this calm, stylish space. Perfect for romantic stay, inspirational artistic stay or remote working stay. <br /><br />My flat offers huge and fully equipped kitchen, cosy couch with television, fast wi-fi, extremely silent hood and especially at the night time. Last but not the least, the bathroom offers both shower and big couple bath tub with the view. <br /><br />Simply made for extraordinary experience.",529489961,Ivo,f,1.0,1.0,t,t,52.48849602829139,13.44794636997527,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$154.00,7,2,2,7,7,2.0,7.0,,t,5,5,5,5,7,5,0,5.0,5.0,4.57,4.71,5.0,5.0,5.0,"First name and Last name: Ivo Spada <br/> Contact address: Heidelbergerstrasse 17, 12059, Berlin, Germany/Berlin <br/>Listing address: Heidelbergerstrasse 17, 12059, Berlin, Germany/Berlin",f,1,1,0,0,0.43
10,10,1697691,20241221052002,Charming flat w.Balcony | Perfect location,"A cosy and quiet 2-room flat in a perfect location on the central and most popular street of the vibrant neighborhood Neukölln. With a beautiful green balcony, turn of the century charm, high ceilings, stucco and wooden floors - with renovated kitchen and bathroom! Within a few minutes are some of the nicest bars, cafés and restaurants in the city. Kreuzberg and Görlitzer Park is a 10 min walk away. Well connected to the rest of the city and suitable for traveling families and backpackers alike.",4647121,Andres,t,2.0,4.0,t,t,52.48762,13.43185,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,$163.00,1125,3,5,1125,1125,3.3,1125.0,,t,29,59,73,73,73,17,1,4.66,4.75,4.41,4.9,4.96,4.9,4.58,08/Z/RA/012871-23,f,1,1,0,0,0.56
13,13,1088989026547588172,20241221052002,cozy and cool Apt. in  Moabit,"My beautiful, small apartment is located on the front building 4th floor of a Berlin old building - south side - with a small balcony. 1 room with a 160 cm wide bed, shower room and small kitchen, located in Moabit, close to Tiergarten and City West, on the U9,  close to Plötzensee and the highway.",69323623,Kati,t,2.0,4.0,t,t,52.53096918661826,13.332679644227028,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,$130.00,365,2,5,365,365,2.1,365.0,,t,23,49,74,232,10,10,0,4.5,4.4,4.7,4.2,4.5,4.5,4.5,01/Z/AZ/015942-23,f,1,1,0,0,1.13
14,14,32116312,20241221052002,Misty Forest Hotel-Apartment in Friedrichshain,"Located in the heart of Friedrichshain - one of the most popular and hip districts in Berlin - we offer urban comfort in modern but cosy spaces with a dream like atmosphere. Through choice of organic materials, colors and themes used, we integrate nature and landscapes into our contemporary spaces which accommodate 2-4 travelers each in two separate double bed rooms. The main focus on an exceptional sleeping experience.",174136994,Hanna,t,7.0,8.0,t,t,52.51756,13.46978,Room in serviced apartment,Hotel room,4,1.0,2.0,2.0,$181.00,60,1,3,60,60,2.0,60.0,,t,14,25,51,290,119,31,1,4.76,4.66,4.73,4.87,4.73,4.73,4.53,"Legal entity name and Legal form: UD Hospitality GmbH <br/>Legal representatives or Trade register number: HRB191799B <br/> Entity address: Sredzkistraße 48, 10435, Berlin, Deutschland <br/>Listing address: Bänschstr. 79, 10247, Berlin, Deutschland",t,7,6,0,0,1.66
19,19,43466772,20241221052002,Myhappyplace two in the middle of Berlin,"The location of the accommodation in Berlin-Mitte is ideal for exploring Berlin. In the immediate vicinity of the apartment you will find many delicious restaurants. Here you are no further than 4 km from Kurfürstendamm and Friedrichstraße is no further away than 6 km. So you are centrally located to the City-West and City East. We are sure you will feel at home. If there are any issues, we are at your disposal 24/7.",341282198,Tim & Matteo,t,2.0,2.0,t,t,52.52888,13.34043,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,$180.00,1125,3,3,1125,1125,3.0,1125.0,,t,19,49,79,336,73,7,0,4.86,4.96,4.86,4.88,4.88,4.66,4.71,"First name and Last name: Michel Hauschild <br/> Contact address: Murellenweg 19, 14052, Berlin, Deutschland <br/>Listing address: Wiclefstraße 66, 10551, Berlin, Deutschland",f,2,2,0,0,1.32
20,20,8564167,20241221052002,"Spacious, bright room in the heart of Berlin","The flat is at the top floor of a heritage building, located in Berlin's hip Mitte district. The building is just a stonethrow away from Prenzlauer Berg district and within five minutes walking of Rosenthaler Platz underground/tram station.",16712308,Moritz,t,1.0,1.0,t,t,52.52971,13.40452,Private room in rental unit,Private room,2,1.5,1.0,3.0,$159.00,90,1,1,90,90,1.0,90.0,,t,29,59,89,179,78,7,0,4.91,4.97,4.95,4.89,4.94,4.97,4.68,"First name and Last name: Moritz Moeller <br/> Contact address: Zehdenicker Str. 22, 10119, Berlin, Berlin <br/>Listing address: Zehdenicker Str. 22, 10119, Berlin, Berlin",f,1,0,1,0,0.74
22,22,1093539576725450151,20241221052002,URBAN FLATS Berlin | Flat No. 301 | City Center,"Welcome to URBAN FLATS Berlin!<br /><br />Experience the capital in our modern and cozy apartment in the heart of Berlin Mitte. Our apartments are in the best location to explore the famous sights such as the Brandenburg Gate, Alexanderplatz and the beautiful Museum Island. Many authentic restaurants and shops can be found right outside the door. The connection with the public transportation is optimal.",546288100,Douglas,f,44.0,46.0,t,t,52.52456238562732,13.398584202102011,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,$196.00,365,1,2,1125,1125,2.0,1125.0,,t,22,52,80,90,31,31,1,4.81,4.81,4.77,4.77,4.71,4.97,4.52,"First name and Last name: URBAN FLATS Berlin <br/> Contact address: Rinbahnstr. 2-14, 12051, Berlin, Deutschland <br/>Listing address: Oranienburger Str. 11, 10178, Berlin, Deutschland",t,44,44,0,0,3.23
29,29,568524485826835987,20241221052002,Numa | Large 1-Bedroom Apartment with Sofabed,"The 61-square-meter, freshly renovated apartments accomodate up to 6 people. They offer a king-sized bed, a double sofa bed, and one bunk bed for two people. Each apartment has a fully equipped kitchen, a dining table with chairs and a spacious bathroom with a shower.",371913052,Numa Kater,f,7.0,7.0,t,t,52.50367,13.446684,Entire serviced apartment,Entire home/apt,6,1.0,1.0,4.0,$145.00,365,1,5,999,999,2.1,999.0,,t,16,42,69,314,42,12,2,4.74,4.76,4.81,4.6,4.64,4.64,4.44,"Legal entity name and Legal form: COSI Berlin Friedrichshain GmbH <br/>Legal representatives or Trade register number: HRB 213405 B <br/> Entity address: Potsdamer Straße 68A, 10785, Berlin, Germany <br/>Listing address: Warschauerstraße 46/47, 10243, Berlin, Germany",t,7,7,0,0,1.26
32,32,1216475418788371601,20241221052002,Bright Cosy Room with Balcony,"Welcome to your cozy and bright private room in the heart of Friedrichshain! Enjoy your own bathroom and balcony with a peaceful view of the trees, ensuring a quiet stay despite the central location. You're minutes away from Mitte, Kreuzberg, and Prenzlauer Berg. Explore nearby grocery stores and charming cafes. Perfect for a comfortable and convenient stay in Berlin!",268520572,Phillip,f,1.0,3.0,t,t,52.52156314549018,13.444711699214391,Private room in rental unit,Private room,2,1.0,1.0,1.0,$100.00,20,4,4,20,20,4.0,20.0,,t,28,58,88,88,5,5,0,5.0,5.0,5.0,4.8,5.0,5.0,4.8,"First name and Last name: Philipp Koster <br/> Contact address: aurstrasse , 10249, Berlin, Germany <br/>Listing address: Aurstr, 10249, Berlin, Germany",f,1,0,1,0,1.44
