,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,2,1205255838613758737,20241221052002,Luxurous game room with private bath in X-Berg,"Cozy private room in Berlin Mitte with private bathroom and over 500 original (retro) games!<br />This charming private room not only offers you comfort and privacy, but also unique gaming entertainment on various consoles and a huge OLED TV.<br />The room is perfectly furnished and equipped with everything you need. A private bathroom ensures maximum privacy. Ideal for solo travelers, couples or business travelers who want to both explore the city and relax.",50009901,Gabriel,t,1.0,1.0,t,t,52.5048115,13.4153243,Private room in condo,Private room,2,1.0,1.0,1.0,$95.00,1125,1,1,1125,1125,1.0,1125.0,,t,24,46,58,305,34,34,5,4.97,4.97,5.0,4.97,4.97,4.94,4.94,01/Z/AZ/017416-24,f,1,0,1,0,9.53
5,5,886772024913265656,20241221052002,Studio in the heart of Berlin,"Located in the heart of Berlin, this stylish and freshly renovated apartment offers a modern and chic living space for those seeking a comfortable and contemporary home.  The apartment is situated in a vibrant neighborhood, surrounded by trendy cafes, restaurants, and boutiques, providing you with the perfect balance between convenience and entertainment. Public transportation options are just a short walk away, allowing you to explore the city effortlessly.",12360,Michael,t,21.0,21.0,t,t,52.52716,13.4106,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,$59.00,730,92,92,730,730,92.0,730.0,,t,6,6,6,240,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,f,21,21,0,0,0.13
6,6,13761071,20241221052002,Central flat near Alex with fiber optic Internet,"This light and clean apartment is located in a tranquil area in the heart of Berlin. Conveniently situated for transport connections, close to Alexanderplatz. Modern, comfortable furnishings. Private parking spaces at the building (requires a reservation). The apartment has super-fast fibre optic broadband Wifi. Linen, bath and hand towels, skin-friendly soap, and green electricity included. There are no additional charges.<br /><br />We love families - children up to 12 years are free of charge.",80675177,Sven,t,2.0,2.0,t,t,52.51024,13.41684,Entire serviced apartment,Entire home/apt,6,1.0,3.0,4.0,$224.00,60,3,6,1125,1125,5.0,1125.0,,t,6,25,55,237,358,59,5,4.86,4.89,4.9,4.96,4.96,4.79,4.73,01/Z/NA/004162-16,f,2,2,0,0,3.49
10,10,1697691,20241221052002,Charming flat w.Balcony | Perfect location,"A cosy and quiet 2-room flat in a perfect location on the central and most popular street of the vibrant neighborhood Neukölln. With a beautiful green balcony, turn of the century charm, high ceilings, stucco and wooden floors - with renovated kitchen and bathroom! Within a few minutes are some of the nicest bars, cafés and restaurants in the city. Kreuzberg and Görlitzer Park is a 10 min walk away. Well connected to the rest of the city and suitable for traveling families and backpackers alike.",4647121,Andres,t,2.0,4.0,t,t,52.48762,13.43185,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,$163.00,1125,3,5,1125,1125,3.3,1125.0,,t,29,59,73,73,73,17,1,4.66,4.75,4.41,4.9,4.96,4.9,4.58,08/Z/RA/012871-23,f,1,1,0,0,0.56
11,11,1004454780293034887,20241221052002,Large room in city centre with private bathroom,"- Spacious and quiet room (28 m², 300 sq ft)<br />- Centrally located - Perfect location to explore Berlin<br />- Lots of cafes and stores in walking distance <br />- Alexanderplatz is very close<br />- Direct access from the room to private bathroom with bathtub<br />- Towels and coffee are provided <br />- Very comfortable bed (king size)<br />- Large Kitchen<br />- Part of a 4 room apartment<br />- The room is located towards the back of the building so it is quiet.<br />- Also you will have a great view on the famous Fernsehturm (TV tower).",66951992,Konrad,t,1.0,1.0,t,t,52.52974171508959,13.424912857147206,Private room in rental unit,Private room,2,1.0,1.0,1.0,$73.00,365,2,2,365,365,2.0,365.0,,t,26,56,86,127,38,36,5,4.97,4.89,4.97,4.95,5.0,4.95,4.79,03/Z/AZ/008608-23,f,1,0,1,0,2.81
13,13,1088989026547588172,20241221052002,cozy and cool Apt. in  Moabit,"My beautiful, small apartment is located on the front building 4th floor of a Berlin old building - south side - with a small balcony. 1 room with a 160 cm wide bed, shower room and small kitchen, located in Moabit, close to Tiergarten and City West, on the U9,  close to Plötzensee and the highway.",69323623,Kati,t,2.0,4.0,t,t,52.53096918661826,13.332679644227028,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,$130.00,365,2,5,365,365,2.1,365.0,,t,23,49,74,232,10,10,0,4.5,4.4,4.7,4.2,4.5,4.5,4.5,01/Z/AZ/015942-23,f,1,1,0,0,1.13
14,14,32116312,20241221052002,Misty Forest Hotel-Apartment in Friedrichshain,"Located in the heart of Friedrichshain - one of the most popular and hip districts in Berlin - we offer urban comfort in modern but cosy spaces with a dream like atmosphere. Through choice of organic materials, colors and themes used, we integrate nature and landscapes into our contemporary spaces which accommodate 2-4 travelers each in two separate double bed rooms. The main focus on an exceptional sleeping experience.",174136994,Hanna,t,7.0,8.0,t,t,52.51756,13.46978,Room in serviced apartment,Hotel room,4,1.0,2.0,2.0,$181.00,60,1,3,60,60,2.0,60.0,,t,14,25,51,290,119,31,1,4.76,4.66,4.73,4.87,4.73,4.73,4.53,"Legal entity name and Legal form: UD Hospitality GmbH <br/>Legal representatives or Trade register number: HRB191799B <br/> Entity address: Sredzkistraße 48, 10435, Berlin, Deutschland <br/>Listing address: Bänschstr. 79, 10247, Berlin, Deutschland",t,7,6,0,0,1.66
17,17,28532851,20241221052002,Quiet & Small (LINDEMANN'S),"approx. 18 m² | Bed (140cc/160cc x210cc) | Air conditioning | Flat screen TV | Desk | Refrigerator | Safe | Bathroom with shower/toilet and hairdryer | Free Wi-Fi<br /><br />Parking: Pre-book for 20,00€/day<br />Breakfast buffet: €21.00/person | Mon.-Fr from 6:30 am -10:30 am | WE and holidays 7:00 am -11:00 am",215178674,Maarten,t,8.0,8.0,t,t,52.49379,13.36134,Room in hotel,Hotel room,2,1.0,1.0,1.0,$82.00,1125,1,3,1125,1125,1.5,1125.0,,t,26,52,79,241,536,85,4,4.73,4.79,4.85,4.86,4.82,4.63,4.66,"Legal entity name and Legal form: LINDEMANN'S GmbH <br/>Legal representatives or Trade register number: 75750 B - Amtsgericht Charlottenburg <br/> Entity address: Potsdamer Straße 171-173, 10783, Berlin, Deutschland <br/>Listing address: Potsdamer Straße 171-173, 10783, Berlin, Deutschland",t,8,0,1,0,7.33
19,19,43466772,20241221052002,Myhappyplace two in the middle of Berlin,"The location of the accommodation in Berlin-Mitte is ideal for exploring Berlin. In the immediate vicinity of the apartment you will find many delicious restaurants. Here you are no further than 4 km from Kurfürstendamm and Friedrichstraße is no further away than 6 km. So you are centrally located to the City-West and City East. We are sure you will feel at home. If there are any issues, we are at your disposal 24/7.",341282198,Tim & Matteo,t,2.0,2.0,t,t,52.52888,13.34043,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,$180.00,1125,3,3,1125,1125,3.0,1125.0,,t,19,49,79,336,73,7,0,4.86,4.96,4.86,4.88,4.88,4.66,4.71,"First name and Last name: Michel Hauschild <br/> Contact address: Murellenweg 19, 14052, Berlin, Deutschland <br/>Listing address: Wiclefstraße 66, 10551, Berlin, Deutschland",f,2,2,0,0,1.32
20,20,8564167,20241221052002,"Spacious, bright room in the heart of Berlin","The flat is at the top floor of a heritage building, located in Berlin's hip Mitte district. The building is just a stonethrow away from Prenzlauer Berg district and within five minutes walking of Rosenthaler Platz underground/tram station.",16712308,Moritz,t,1.0,1.0,t,t,52.52971,13.40452,Private room in rental unit,Private room,2,1.5,1.0,3.0,$159.00,90,1,1,90,90,1.0,90.0,,t,29,59,89,179,78,7,0,4.91,4.97,4.95,4.89,4.94,4.97,4.68,"First name and Last name: Moritz Moeller <br/> Contact address: Zehdenicker Str. 22, 10119, Berlin, Berlin <br/>Listing address: Zehdenicker Str. 22, 10119, Berlin, Berlin",f,1,0,1,0,0.74
